# Data3
# zs, mu, muerr
0.022183, 14.9239, 0.0733
0.025017, 15.0028, 0.0863
0.030548, 15.6783, 0.0993
0.037793, 16.0670, 0.0707
0.040797, 16.3777, 0.0980
0.041765, 16.3424, 0.0562
0.043854, 16.4750, 0.0856
0.049766, 16.5078, 0.0754
0.060610, 17.1884, 0.0616
0.067716, 17.4244, 0.0608
0.068928, 17.3068, 0.0865
0.072121, 17.6699, 0.0928
0.073364, 17.5708, 0.0952
0.075471, 17.4808, 0.0762
0.078317, 17.7062, 0.0555
0.091492, 17.9839, 0.0727
0.109134, 18.5269, 0.0681
0.110020, 18.4549, 0.1020
0.123910, 18.6694, 0.0600
0.124139, 18.8096, 0.1046
0.134115, 19.1346, 0.1018
0.136710, 19.1188, 0.0719
0.138906, 19.0330, 0.0911
0.139418, 19.0629, 0.0702
0.148662, 19.1247, 0.0687
0.154820, 19.2788, 0.0674
0.162350, 19.3374, 0.0999
0.162920, 19.2816, 0.0637
0.169133, 19.3932, 0.0803
0.169586, 19.4310, 0.0768
0.170923, 19.4912, 0.0793
0.176165, 19.3853, 0.0786
0.177011, 19.7852, 0.0824
0.180092, 19.5837, 0.0994
0.188156, 19.5518, 0.1046
0.207104, 19.9591, 0.0602
0.210187, 19.9554, 0.0663
0.211583, 20.1017, 0.0920
0.212960, 19.9535, 0.0928
0.220379, 20.1402, 0.0584
0.222403, 20.0887, 0.0581
0.234328, 20.4248, 0.0697
0.234865, 20.2066, 0.0551
0.234941, 20.3394, 0.0960
0.238508, 20.3442, 0.0553
0.239902, 20.2941, 0.0940
0.248115, 20.4887, 0.0560
0.251004, 20.4125, 0.0849
0.252697, 20.3862, 0.0658
0.256898, 20.5016, 0.0804
0.266340, 20.3825, 0.0932
0.269495, 20.5671, 0.0702
0.270337, 20.5449, 0.0684
0.273624, 20.5748, 0.0766
0.277562, 20.5645, 0.0913
0.281172, 20.6667, 0.0694
0.293906, 20.9164, 0.0825
0.294696, 20.7831, 0.0958
0.310298, 20.7844, 0.0923
0.311739, 20.8776, 0.1039
0.313673, 21.0000, 0.0766
0.315154, 20.9850, 0.0552
0.315612, 20.9226, 0.0673
