# Data4
# zs, mu, muerr
0.022183, 14.9119, 0.0733
0.025017, 14.9892, 0.0863
0.030548, 15.6618, 0.0993
0.037793, 16.0467, 0.0707
0.040797, 16.3559, 0.0980
0.041765, 16.3200, 0.0562
0.043854, 16.4516, 0.0856
0.049766, 16.4814, 0.0754
0.060610, 17.1564, 0.0616
0.067716, 17.3889, 0.0608
0.068928, 17.2707, 0.0865
0.072121, 17.6322, 0.0928
0.073364, 17.5324, 0.0952
0.075471, 17.4414, 0.0762
0.078317, 17.6654, 0.0555
0.091492, 17.9368, 0.0727
0.109134, 18.4714, 0.0681
0.110020, 18.3990, 0.1020
0.123910, 18.6070, 0.0600
0.124139, 18.7471, 0.1046
0.134115, 19.0675, 0.1018
0.136710, 19.0506, 0.0719
0.138906, 18.9638, 0.0911
0.139418, 18.9935, 0.0702
0.148662, 19.0511, 0.0687
0.154820, 19.2025, 0.0674
0.162350, 19.2578, 0.0999
0.162920, 19.2018, 0.0637
0.169133, 19.3107, 0.0803
0.169586, 19.3482, 0.0768
0.170923, 19.4079, 0.0793
0.176165, 19.2997, 0.0786
0.177011, 19.6992, 0.0824
0.180092, 19.4965, 0.0994
0.188156, 19.4611, 0.1046
0.207104, 19.8605, 0.0602
0.210187, 19.8555, 0.0663
0.211583, 20.0013, 0.0920
0.212960, 19.8525, 0.0928
0.220379, 20.0362, 0.0584
0.222403, 19.9838, 0.0581
0.234328, 20.3151, 0.0697
0.234865, 20.0967, 0.0551
0.234941, 20.2295, 0.0960
0.238508, 20.2328, 0.0553
0.239902, 20.1822, 0.0940
0.248115, 20.3735, 0.0560
0.251004, 20.2962, 0.0849
0.252697, 20.2693, 0.0658
0.256898, 20.3830, 0.0804
0.266340, 20.2602, 0.0932
0.269495, 20.4436, 0.0702
0.270337, 20.4211, 0.0684
0.273624, 20.4497, 0.0766
0.277562, 20.4380, 0.0913
0.281172, 20.5388, 0.0694
0.293906, 20.7836, 0.0825
0.294696, 20.6500, 0.0958
0.310298, 20.6456, 0.0923
