# Data2
# zs, mu, muerr
0.022183, 14.9116, 0.0733
0.025017, 14.9889, 0.0863
0.030548, 15.6614, 0.0993
0.037793, 16.0463, 0.0707
0.040797, 16.3554, 0.0980
0.041765, 16.3195, 0.0562
0.043854, 16.4510, 0.0856
0.049766, 16.4807, 0.0754
0.060610, 17.1557, 0.0616
0.067716, 17.3881, 0.0608
0.068928, 17.2698, 0.0865
0.072121, 17.6313, 0.0928
0.073364, 17.5315, 0.0952
0.075471, 17.4405, 0.0762
0.078317, 17.6644, 0.0555
0.091492, 17.9356, 0.0727
0.109134, 18.4700, 0.0681
0.110020, 18.3976, 0.1020
0.123910, 18.6055, 0.0600
0.124139, 18.7456, 0.1046
0.134115, 19.0659, 0.1018
0.136710, 19.0490, 0.0719
0.138906, 18.9621, 0.0911
0.139418, 18.9918, 0.0702
0.148662, 19.0494, 0.0687
0.154820, 19.2007, 0.0674
0.162350, 19.2559, 0.0999
0.162920, 19.1999, 0.0637
0.169133, 19.3088, 0.0803
0.169586, 19.3463, 0.0768
0.170923, 19.4060, 0.0793
0.176165, 19.2978, 0.0786
0.177011, 19.6973, 0.0824
0.180092, 19.4945, 0.0994
0.188156, 19.4591, 0.1046
0.207104, 19.8584, 0.0602
0.210187, 19.8535, 0.0663
0.211583, 19.9992, 0.0920
0.212960, 19.8505, 0.0928
0.220379, 20.0341, 0.0584
0.222403, 19.9817, 0.0581
0.234328, 20.3131, 0.0697
0.234865, 20.0947, 0.0551
0.234941, 20.2274, 0.0960
0.238508, 20.2308, 0.0553
0.239902, 20.1801, 0.0940
0.248115, 20.3715, 0.0560
0.251004, 20.2941, 0.0849
0.252697, 20.2673, 0.0658
0.256898, 20.3810, 0.0804
0.266340, 20.2583, 0.0932
0.269495, 20.4417, 0.0702
0.270337, 20.4191, 0.0684
0.273624, 20.4478, 0.0766
0.277562, 20.4361, 0.0913
0.281172, 20.5369, 0.0694
0.293906, 20.7819, 0.0825
0.294696, 20.6483, 0.0958
0.310298, 20.6440, 0.0923
0.311739, 20.7366, 0.1039
0.313673, 20.8583, 0.0766
0.315154, 20.8428, 0.0552
0.315612, 20.7802, 0.0673
0.324511, 20.8604, 0.1013
0.327130, 20.8353, 0.0663
0.338269, 20.8786, 0.1024
0.343116, 20.9768, 0.0890
0.349208, 20.9607, 0.0608
0.354031, 21.2322, 0.1023
0.354219, 21.1253, 0.0590
0.354738, 21.0492, 0.0848
0.357565, 20.9561, 0.0885
0.359664, 21.1555, 0.0834
0.360471, 21.1177, 0.0784
0.360962, 21.0119, 0.0914
0.361792, 21.2386, 0.1043
0.365050, 21.0978, 0.0644
0.370268, 21.1493, 0.1010
0.371633, 21.2630, 0.0560
0.372597, 21.1238, 0.0721
0.375127, 21.2480, 0.0892
0.379977, 21.2755, 0.0744
0.381130, 21.3100, 0.0679
0.385424, 21.3880, 0.0850
0.392025, 21.2284, 0.0900
0.409076, 21.5277, 0.0798
0.415111, 21.6216, 0.0914
0.418008, 21.4436, 0.0735
0.427055, 21.5540, 0.0765
0.427463, 21.5820, 0.0825
0.433062, 21.6887, 0.0791
0.439181, 21.4905, 0.0882
0.444365, 21.6348, 0.0837
0.445041, 21.6597, 0.0609
0.451543, 21.5815, 0.0773
0.452504, 21.6870, 0.0680
0.454001, 21.6313, 0.0710
0.454396, 21.7608, 0.0662
0.457063, 21.6254, 0.1049
0.460560, 21.5811, 0.0760
0.470555, 21.7647, 0.0821
0.471788, 21.7072, 0.0665
0.474408, 21.8661, 0.0649
0.477357, 21.6527, 0.0947
0.478540, 21.8817, 0.0638
0.480260, 21.7886, 0.0606
0.480967, 21.8296, 0.0996
0.489092, 21.6495, 0.0858
0.492508, 21.9921, 0.0798
0.495064, 21.8571, 0.0815
0.497840, 21.9345, 0.0948
0.500417, 21.9768, 0.0977
0.500619, 21.8171, 0.1007
0.508437, 21.8887, 0.0928
0.515605, 21.8233, 0.0884
